PassengerId,Survived,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,"Braund, Mr. Owen Harris",male,22.0,1,0,7.25,S
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,71.3,C
3,1,"Heikkinen, Miss. Laina",female,26.0,0,0,7.926,S
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,53.1,S
5,0,"Allen, Mr. William Henry",male,35.0,0,0,8.05,S
6,0,"Moran, Mr. James",male,0.0,0,0,8.46,Q
7,0,"McCarthy, Mr. Timothy J",male,54.0,0,0,51.88,S
8,0,"Palsson, Master. Gosta Leonard",male,2.0,3,1,21.08,S
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,11.13,S
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,30.08,C
11,1,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,16.7,S
12,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,26.55,S
13,0,"Saundercock, Mr. William Henry",male,20.0,0,0,8.05,S
14,0,"Andersson, Mr. Anders Johan",male,39.0,1,5,31.28,S
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,7.855,S
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,16.0,S
17,0,"Rice, Master. Eugene",male,2.0,4,1,29.12,Q
18,1,"Williams, Mr. Charles Eugene",male,0.0,0,0,13.0,S
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,18.0,S
20,1,"Masselmani, Mrs. Fatima",female,0.0,0,0,7.227,C
21,0,"Fynney, Mr. Joseph J",male,35.0,0,0,26.0,S
22,1,"Beesley, Mr. Lawrence",male,34.0,0,0,13.0,S
23,1,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,8.03,Q
24,1,"Sloper, Mr. William Thompson",male,28.0,0,0,35.5,S
25,0,"Palsson, Miss. Torborg Danira",female,8.0,3,1,21.08,S
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,31.39,S
27,0,"Emir, Mr. Farred Chehab",male,0.0,0,0,7.227,C
28,0,"Fortune, Mr. Charles Alexander",male,19.0,3,2,263.0,S
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,0.0,0,0,7.88,Q
30,0,"Todoroff, Mr. Lalio",male,0.0,0,0,7.895,S
31,0,"Uruchurtu, Don. Manuel E",male,40.0,0,0,27.72,C
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,0.0,1,0,146.5,C
33,1,"Glynn, Miss. Mary Agatha",female,0.0,0,0,7.75,Q
34,0,"Wheadon, Mr. Edward H",male,66.0,0,0,10.5,S
35,0,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,82.2,C
36,0,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,52.0,S
37,1,"Mamee, Mr. Hanna",male,0.0,0,0,7.23,C
38,0,"Cann, Mr. Ernest Charles",male,21.0,0,0,8.05,S
39,0,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,18.0,S
40,1,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,11.24,C
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,9.48,S
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,21.0,S
43,0,"Kraeff, Mr. Theodor",male,0.0,0,0,7.895,C
44,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,41.6,C
45,1,"Devaney, Miss. Margaret Delia",female,19.0,0,0,7.88,Q
46,0,"Rogers, Mr. William John",male,0.0,0,0,8.05,S
47,0,"Lennon, Mr. Denis",male,0.0,1,0,15.5,Q
48,1,"O'Driscoll, Miss. Bridget",female,0.0,0,0,7.75,Q
49,0,"Samaan, Mr. Youssef",male,0.0,2,0,21.67,C
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,17.8,S
51,0,"Panula, Master. Juha Niilo",male,7.0,4,1,39.7,S
52,0,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,7.8,S
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,76.75,C
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,26.0,S
55,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,61.97,C
56,1,"Woolner, Mr. Hugh",male,0.0,0,0,35.5,S
57,1,"Rugg, Miss. Emily",female,21.0,0,0,10.5,S
58,0,"Novel, Mr. Mansouer",male,28.5,0,0,7.23,C
59,1,"West, Miss. Constance Mirium",female,5.0,1,2,27.75,S
60,0,"Goodwin, Master. William Frederick",male,11.0,5,2,46.9,S
61,0,"Sirayanian, Mr. Orsen",male,22.0,0,0,7.23,C
63,0,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,83.5,S
64,0,"Skoog, Master. Harald",male,4.0,3,2,27.9,S
65,0,"Stewart, Mr. Albert A",male,0.0,0,0,27.72,C
66,1,"Moubarek, Master. Gerios",male,0.0,1,1,15.24,C
67,1,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,10.5,S
68,0,"Crease, Mr. Ernest James",male,19.0,0,0,8.16,S
69,1,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,7.926,S
70,0,"Kink, Mr. Vincenz",male,26.0,2,0,8.664,S
71,0,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,10.5,S
72,0,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,46.9,S
73,0,"Hood, Mr. Ambrose Jr",male,21.0,0,0,73.5,S
74,0,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,14.45,C
75,1,"Bing, Mr. Lee",male,32.0,0,0,56.5,S
76,0,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,7.65,S
77,0,"Staneff, Mr. Ivan",male,0.0,0,0,7.895,S
78,0,"Moutal, Mr. Rahamin Haim",male,0.0,0,0,8.05,S
79,1,"Caldwell, Master. Alden Gates",male,0.83,0,2,29.0,S
80,1,"Dowdell, Miss. Elizabeth",female,30.0,0,0,12.48,S
81,0,"Waelens, Mr. Achille",male,22.0,0,0,9.0,S
82,1,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,9.5,S
83,1,"McDermott, Miss. Brigdet Delia",female,0.0,0,0,7.79,Q
84,0,"Carrau, Mr. Francisco M",male,28.0,0,0,47.1,S
85,1,"Ilett, Miss. Bertha",female,17.0,0,0,10.5,S
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,15.85,S
87,0,"Ford, Mr. William Neal",male,16.0,1,3,34.38,S
88,0,"Slocovski, Mr. Selman Francis",male,0.0,0,0,8.05,S
89,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,263.0,S
90,0,"Celotti, Mr. Francesco",male,24.0,0,0,8.05,S
91,0,"Christmann, Mr. Emil",male,29.0,0,0,8.05,S
92,0,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,7.855,S
93,0,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,61.2,S
94,0,"Dean, Mr. Bertram Frank",male,26.0,1,2,20.58,S
95,0,"Coxon, Mr. Daniel",male,59.0,0,0,7.25,S
96,0,"Shorney, Mr. Charles Joseph",male,0.0,0,0,8.05,S
97,0,"Goldschmidt, Mr. George B",male,71.0,0,0,34.66,C
98,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,63.34,C
99,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,23.0,S
100,0,"Kantor, Mr. Sinai",male,34.0,1,0,26.0,S
